"TRIP_ID","season","year","reach_start","RIVER_CODE","baited_hoop_net","boat_electrofishing","unbaited_hoop_net","antenna_temporary","sampling.date","id","water.temp"
"LF20180917","fall",2018,8,"COR",0,15,0,0,2018-09-20,"LF20180917 fall 8",11.81
"LF20190311","spring",2019,8,"COR",0,15,0,0,2019-03-13,"LF20190311 spring 8",8.37
"LF20190417","spring",2019,8,"COR",0,53,0,0,2019-04-18,"LF20190417 spring 8",9.06
"LF20190911","fall",2019,8,"COR",0,51,0,0,2019-09-12,"LF20190911 fall 8",13.85
"LF20190923","fall",2019,8,"COR",0,13,0,0,2019-09-25,"LF20190923 fall 8",14.58
"LF20200915","fall",2020,8,"COR",0,51,0,0,2020-09-18,"LF20200915 fall 8",11.32
"GC20120419","spring",2012,16,"COR",0,66,0,0,2012-04-20,"GC20120419 spring 16",9.09
"GC20120913","fall",2012,16,"COR",0,68,0,0,2012-09-14,"GC20120913 fall 16",10.49
"GC20130405","spring",2013,16,"COR",0,63,0,0,2013-04-05,"GC20130405 spring 16",8.34
"GC20130912","fall",2013,16,"COR",0,59,0,0,2013-09-13,"GC20130912 fall 16",11.08
"GC20140403","spring",2014,16,"COR",0,67,0,0,2014-04-04,"GC20140403 spring 16",8.6
"GC20140911","fall",2014,16,"COR",0,68,0,0,2014-09-12,"GC20140911 fall 16",13.58
"GC20150402","spring",2015,16,"COR",0,68,0,0,2015-04-03,"GC20150402 spring 16",8.75
"GC20150910","fall",2015,16,"COR",0,67,0,0,2015-09-11,"GC20150910 fall 16",13.29
"GC20151016","fall",2015,16,"COR",0,117,0,0,2015-10-23,"GC20151016 fall 16",13.93
"GC20160330","spring",2016,16,"COR",0,68,0,0,2016-03-31,"GC20160330 spring 16",8.68
"GC20160908","fall",2016,16,"COR",0,64,0,0,2016-09-09,"GC20160908 fall 16",12.64
"GC20170425","spring",2017,16,"COR",0,77,0,0,2017-04-26,"GC20170425 spring 16",9.21
"GC20170926","fall",2017,16,"COR",0,58,0,0,2017-09-27,"GC20170926 fall 16",12.53
"GC20180615","spring",2018,16,"COR",0,59,0,0,2018-06-16,"GC20180615 spring 16",10.19
"LF20050404","spring",2005,16,"COR",0,12,0,0,2005-04-04,"LF20050404 spring 16",9.15
"LF20060404","spring",2006,16,"COR",0,14,0,0,2006-04-04,"LF20060404 spring 16",8.96
"LF20061010","fall",2006,16,"COR",0,11,0,0,2006-10-10,"LF20061010 fall 16",11.54
"LF20081028","fall",2008,16,"COR",0,12,0,0,2008-10-28,"LF20081028 fall 16",13.08
"LF20090421","spring",2009,16,"COR",0,12,0,0,2009-04-21,"LF20090421 spring 16",9.16
"LF20100427","spring",2010,16,"COR",0,12,0,0,2010-04-27,"LF20100427 spring 16",8.59
"LF20101026","fall",2010,16,"COR",0,9,0,0,2010-10-26,"LF20101026 fall 16",10.42
"LF20111018","fall",2011,16,"COR",0,11,0,0,2011-10-18,"LF20111018 fall 16",14.4
"LF20120409","spring",2012,16,"COR",0,25,0,0,2012-04-11,"LF20120409 spring 16",9.06
"LF20121015","fall",2012,16,"COR",0,11,0,0,2012-10-15,"LF20121015 fall 16",10.19
"LF20130325","spring",2013,16,"COR",0,11,0,0,2013-03-25,"LF20130325 spring 16",8.1
"LF20131021","fall",2013,16,"COR",0,27,0,0,2013-10-23,"LF20131021 fall 16",11.2
"LF20131022","fall",2013,16,"COR",0,39,0,0,2013-10-30,"LF20131022 fall 16",10.82
"LF20140318","spring",2014,16,"COR",0,10,0,0,2014-03-18,"LF20140318 spring 16",8.45
"LF20140930","fall",2014,16,"COR",0,12,0,0,2014-09-30,"LF20140930 fall 16",13.75
"LF20141017","fall",2014,16,"COR",0,85,0,0,2014-10-25,"LF20141017 fall 16",13.66
"LF20150317","spring",2015,16,"COR",0,12,0,0,2015-03-17,"LF20150317 spring 16",9.37
"LF20151005","fall",2015,16,"COR",0,16,0,0,2015-10-05,"LF20151005 fall 16",13.61
"LF20160913","fall",2016,16,"COR",0,16,0,0,2016-09-13,"LF20160913 fall 16",12.98
"LF20161019","fall",2016,16,"COR",0,118,0,0,2016-10-26,"LF20161019 fall 16",13.95
"LF20170314","spring",2017,16,"COR",0,12,0,0,2017-03-14,"LF20170314 spring 16",9.02
"LF20170912","fall",2017,16,"COR",0,12,0,0,2017-09-12,"LF20170912 fall 16",12.25
"LF20171026","fall",2017,16,"COR",0,53,0,0,2017-10-27,"LF20171026 fall 16",12.76
"LF20180917","fall",2018,16,"COR",0,11,0,0,2018-09-17,"LF20180917 fall 16",11.86
"LF20190311","spring",2019,16,"COR",0,10,0,0,2019-03-11,"LF20190311 spring 16",8.36
"LF20190417","spring",2019,16,"COR",0,53,0,0,2019-04-22,"LF20190417 spring 16",9.23
"LF20190911","fall",2019,16,"COR",0,52,0,0,2019-09-16,"LF20190911 fall 16",14.73
"LF20190923","fall",2019,16,"COR",0,15,0,0,2019-09-23,"LF20190923 fall 16",14.62
"LF20200915","fall",2020,16,"COR",0,52,0,0,2020-09-20,"LF20200915 fall 16",11.48
"GC20040501","spring",2004,24,"COR",0,24,0,0,2004-05-01,"GC20040501 spring 24",9.37
"GC20060408","spring",2006,24,"COR",0,12,0,0,2006-04-08,"GC20060408 spring 24",9.06
"GC20060507","spring",2006,24,"COR",21,0,0,0,2006-05-07,"GC20060507 spring 24",9.66
"GC20110507","spring",2011,24,"COR",0,59,0,0,2011-05-08,"GC20110507 spring 24",9.07
"GC20120511","spring",2012,24,"COR",0,10,0,0,2012-05-11,"GC20120511 spring 24",9.74
"GC20140403","spring",2014,24,"COR",0,7,0,0,2014-04-03,"GC20140403 spring 24",8.49
"GC20150401","spring",2015,24,"COR",0,11,0,0,2015-04-01,"GC20150401 spring 24",9.29
"GC20150402","spring",2015,24,"COR",0,3,0,0,2015-04-04,"GC20150402 spring 24",8.91
"GC20151016","fall",2015,24,"COR",0,11,0,0,2015-10-25,"GC20151016 fall 24",13.69
"GC20160405","spring",2016,24,"COR",2,14,0,0,2016-04-06,"GC20160405 spring 24",9.11
"GC20190403","spring",2019,24,"COR",4,12,0,0,2019-04-02,"GC20190403 spring 24",8.81
"LF20050404","spring",2005,24,"COR",0,1,0,0,2005-04-04,"LF20050404 spring 24",9.32
"LF20061010","fall",2006,24,"COR",0,2,0,0,2006-10-10,"LF20061010 fall 24",11.49
"LF20081028","fall",2008,24,"COR",0,2,0,0,2008-10-28,"LF20081028 fall 24",13.04
"LF20101026","fall",2010,24,"COR",0,5,0,0,2010-10-26,"LF20101026 fall 24",10.49
"LF20111018","fall",2011,24,"COR",0,2,0,0,2011-10-18,"LF20111018 fall 24",14.4
"LF20120409","spring",2012,24,"COR",0,3,0,0,2012-04-09,"LF20120409 spring 24",8.82
"LF20121015","fall",2012,24,"COR",0,1,0,0,2012-10-16,"LF20121015 fall 24",10.19
"LF20130325","spring",2013,24,"COR",0,3,0,0,2013-03-25,"LF20130325 spring 24",8.11
"LF20131021","fall",2013,24,"COR",0,1,0,0,2013-10-23,"LF20131021 fall 24",11.18
"LF20140318","spring",2014,24,"COR",0,1,0,0,2014-03-18,"LF20140318 spring 24",8.62
"LF20140930","fall",2014,24,"COR",0,2,0,0,2014-09-30,"LF20140930 fall 24",13.75
"LF20141017","fall",2014,24,"COR",0,11,0,0,2014-10-26,"LF20141017 fall 24",13.84
"LF20150317","spring",2015,24,"COR",0,2,0,0,2015-03-17,"LF20150317 spring 24",9.42
"LF20151005","fall",2015,24,"COR",0,2,0,0,2015-10-05,"LF20151005 fall 24",13.66
"LF20161019","fall",2016,24,"COR",0,11,0,0,2016-10-28,"LF20161019 fall 24",14.04
"LF20170314","spring",2017,24,"COR",0,3,0,0,2017-03-14,"LF20170314 spring 24",9.09
"LF20170912","fall",2017,24,"COR",0,4,0,0,2017-09-12,"LF20170912 fall 24",12.4
"LF20180917","fall",2018,24,"COR",0,4,0,0,2018-09-17,"LF20180917 fall 24",11.98
"LF20190311","spring",2019,24,"COR",0,3,0,0,2019-03-11,"LF20190311 spring 24",8.34
"GC20050514","spring",2005,32,"COR",0,24,0,0,2005-05-14,"GC20050514 spring 32",10.06
"GC20060408","spring",2006,32,"COR",0,12,0,0,2006-04-08,"GC20060408 spring 32",9.13
"GC20060507","spring",2006,32,"COR",15,0,0,0,2006-05-07,"GC20060507 spring 32",9.82
"GC20070308","spring",2007,32,"COR",0,10,0,0,2007-03-08,"GC20070308 spring 32",8.63
"GC20070915","fall",2007,32,"COR",0,6,0,0,2007-09-15,"GC20070915 fall 32",11.14
"GC20120511","spring",2012,32,"COR",0,38,0,0,2012-05-12,"GC20120511 spring 32",9.74
"GC20130525","spring",2013,32,"COR",0,2,0,0,2013-05-25,"GC20130525 spring 32",9.47
"GC20140403","spring",2014,32,"COR",0,9,0,0,2014-04-03,"GC20140403 spring 32",8.53
"GC20150401","spring",2015,32,"COR",0,5,0,0,2015-04-01,"GC20150401 spring 32",9.41
"GC20150402","spring",2015,32,"COR",0,51,0,0,2015-04-05,"GC20150402 spring 32",9.04
"GC20160405","spring",2016,32,"COR",2,9,0,0,2016-04-06,"GC20160405 spring 32",9.22
"GC20160519","spring",2016,32,"COR",4,7,0,0,2016-05-19,"GC20160519 spring 32",9.78
"GC20170402","spring",2017,32,"COR",3,6,0,0,2017-04-02,"GC20170402 spring 32",9.27
"GC20190403","spring",2019,32,"COR",4,12,0,0,2019-04-03,"GC20190403 spring 32",8.82
"GC20060506","spring",2006,40,"COR",0,24,0,0,2006-05-06,"GC20060506 spring 40",9.8
"GC20070308","spring",2007,40,"COR",0,26,0,0,2007-03-08,"GC20070308 spring 40",8.67
"GC20070915","fall",2007,40,"COR",0,28,0,0,2007-09-15,"GC20070915 fall 40",11.3
"GC20100506","spring",2010,40,"COR",0,24,0,0,2010-05-06,"GC20100506 spring 40",9.18
"GC20130404","spring",2013,40,"COR",0,17,0,0,2013-04-04,"GC20130404 spring 40",8.64
"GC20130525","spring",2013,40,"COR",0,14,0,0,2013-05-25,"GC20130525 spring 40",9.57
"GC20160519","spring",2016,40,"COR",6,17,0,0,2016-05-19,"GC20160519 spring 40",9.9
"GC20170402","spring",2017,40,"COR",5,14,0,0,2017-04-02,"GC20170402 spring 40",9.33
"GC20040402","spring",2004,48,"COR",0,8,0,0,2004-04-02,"GC20040402 spring 48",9.54
"GC20060507","spring",2006,48,"COR",33,0,0,0,2006-05-08,"GC20060507 spring 48",10.26
"GC20080327","spring",2008,48,"COR",0,24,0,0,2008-03-27,"GC20080327 spring 48",8.71
"GC20090228","spring",2009,48,"COR",0,5,0,0,2009-03-01,"GC20090228 spring 48",8.49
"GC20120419","spring",2012,48,"COR",0,35,0,0,2012-04-22,"GC20120419 spring 48",9.77
"GC20120913","fall",2012,48,"COR",0,35,0,0,2012-09-16,"GC20120913 fall 48",10.97
"GC20130405","spring",2013,48,"COR",0,36,0,0,2013-04-07,"GC20130405 spring 48",9
"GC20130912","fall",2013,48,"COR",0,36,0,0,2013-09-15,"GC20130912 fall 48",11.75
"GC20140403","spring",2014,48,"COR",0,51,0,0,2014-04-05,"GC20140403 spring 48",8.94
"GC20140524","spring",2014,48,"COR",0,15,0,0,2014-05-24,"GC20140524 spring 48",10.32
"GC20140911","fall",2014,48,"COR",0,38,0,0,2014-09-14,"GC20140911 fall 48",14.23
"GC20150402","spring",2015,48,"COR",0,38,0,0,2015-04-06,"GC20150402 spring 48",9.46
"GC20150430","spring",2015,48,"COR",0,5,0,0,2015-04-30,"GC20150430 spring 48",9.86
"GC20150910","fall",2015,48,"COR",0,35,0,0,2015-09-12,"GC20150910 fall 48",13.78
"GC20160330","spring",2016,48,"COR",0,38,0,0,2016-04-01,"GC20160330 spring 48",8.94
"GC20160908","fall",2016,48,"COR",0,38,0,0,2016-09-11,"GC20160908 fall 48",13.35
"GC20170402","spring",2017,48,"COR",6,11,0,0,2017-04-03,"GC20170402 spring 48",9.47
"GC20170525","spring",2017,48,"COR",8,15,0,0,2017-05-25,"GC20170525 spring 48",10.55
"GC20170926","fall",2017,48,"COR",0,29,0,0,2017-09-28,"GC20170926 fall 48",13.02
"GC20180405","spring",2018,48,"COR",4,10,0,0,2018-04-05,"GC20180405 spring 48",9.3
"GC20181006","fall",2018,48,"COR",0,25,0,0,2018-10-06,"GC20181006 fall 48",11.98
"GC20190518","spring",2019,48,"COR",1,10,0,0,2019-05-18,"GC20190518 spring 48",9.52
"GC20191001","fall",2019,48,"COR",0,25,0,0,2019-10-02,"GC20191001 fall 48",14.12
"GC20201002","fall",2020,48,"COR",0,25,0,0,2020-10-02,"GC20201002 fall 48",11.99
"GC20040402","spring",2004,56,"COR",0,16,0,0,2004-04-02,"GC20040402 spring 56",9.62
"GC20050416","spring",2005,56,"COR",0,24,0,0,2005-04-16,"GC20050416 spring 56",10.27
"GC20060507","spring",2006,56,"COR",3,0,0,0,2006-05-08,"GC20060507 spring 56",10.41
"GC20080327","spring",2008,56,"COR",0,12,0,0,2008-03-27,"GC20080327 spring 56",8.82
"GC20090326","spring",2009,56,"COR",0,24,0,0,2009-03-26,"GC20090326 spring 56",8.63
"GC20120419","spring",2012,56,"COR",0,30,0,0,2012-04-22,"GC20120419 spring 56",9.89
"GC20120913","fall",2012,56,"COR",0,30,0,0,2012-09-16,"GC20120913 fall 56",11.05
"GC20130405","spring",2013,56,"COR",0,30,0,0,2013-04-07,"GC20130405 spring 56",9.13
"GC20130912","fall",2013,56,"COR",0,29,0,0,2013-09-15,"GC20130912 fall 56",11.87
"GC20140403","spring",2014,56,"COR",0,31,0,0,2014-04-06,"GC20140403 spring 56",9.13
"GC20140524","spring",2014,56,"COR",0,16,0,0,2014-05-25,"GC20140524 spring 56",10.89
"GC20140911","fall",2014,56,"COR",0,30,0,0,2014-09-14,"GC20140911 fall 56",14.32
"GC20150401","spring",2015,56,"COR",0,16,0,0,2015-04-02,"GC20150401 spring 56",9.71
"GC20150402","spring",2015,56,"COR",0,30,0,0,2015-04-07,"GC20150402 spring 56",9.59
"GC20150430","spring",2015,56,"COR",0,15,0,0,2015-04-30,"GC20150430 spring 56",9.99
"GC20150910","fall",2015,56,"COR",0,30,0,0,2015-09-13,"GC20150910 fall 56",13.94
"GC20160330","spring",2016,56,"COR",0,39,0,0,2016-04-02,"GC20160330 spring 56",9.22
"GC20160908","fall",2016,56,"COR",0,30,0,0,2016-09-11,"GC20160908 fall 56",13.41
"GC20170402","spring",2017,56,"COR",2,9,0,0,2017-04-03,"GC20170402 spring 56",9.6
"GC20170926","fall",2017,56,"COR",0,10,0,0,2017-09-29,"GC20170926 fall 56",13.18
"GC20180405","spring",2018,56,"COR",4,10,0,0,2018-04-05,"GC20180405 spring 56",9.38
"GC20181006","fall",2018,56,"COR",0,7,0,0,2018-10-07,"GC20181006 fall 56",11.87
"GC20190518","spring",2019,56,"COR",5,2,0,0,2019-05-18,"GC20190518 spring 56",9.6
"GC20191001","fall",2019,56,"COR",0,7,0,0,2019-10-02,"GC20191001 fall 56",14.18
"GC20201002","fall",2020,56,"COR",0,7,0,0,2020-10-03,"GC20201002 fall 56",12.2
"GC20040515","spring",2004,64,"COR",36,0,0,0,2004-05-15,"GC20040515 spring 64",10.32
"GC20050531","spring",2005,64,"COR",0,1,0,0,2005-06-02,"GC20050531 spring 64",11.63
"GC20070404","spring",2007,64,"COR",0,0,3,0,2007-04-04,"GC20070404 spring 64",9.43
"GC20100401","spring",2010,64,"COR",0,24,0,0,2010-04-01,"GC20100401 spring 64",8.72
"GC20100506","spring",2010,64,"COR",0,2,0,0,2010-05-07,"GC20100506 spring 64",9.55
"GC20150430","spring",2015,64,"COR",0,18,0,0,2015-05-01,"GC20150430 spring 64",10.22
"GC20160405","spring",2016,64,"COR",5,19,0,0,2016-04-07,"GC20160405 spring 64",9.53
"GC20180405","spring",2018,64,"COR",4,11,0,0,2018-04-06,"GC20180405 spring 64",9.67
"GC20040501","spring",2004,72,"COR",0,24,0,0,2004-05-02,"GC20040501 spring 72",10.3
"GC20040612","spring",2004,72,"COR",72,0,0,0,2004-06-12,"GC20040612 spring 72",10.74
"GC20060408","spring",2006,72,"COR",0,24,0,0,2006-04-09,"GC20060408 spring 72",9.71
"GC20060603","spring",2006,72,"COR",36,0,0,0,2006-06-03,"GC20060603 spring 72",11
"GC20070404","spring",2007,72,"COR",0,0,12,0,2007-04-04,"GC20070404 spring 72",9.55
"GC20070502","spring",2007,72,"COR",0,0,12,0,2007-05-02,"GC20070502 spring 72",9.99
"GC20080327","spring",2008,72,"COR",0,15,0,0,2008-03-28,"GC20080327 spring 72",9.03
"GC20100506","spring",2010,72,"COR",0,22,0,0,2010-05-07,"GC20100506 spring 72",9.74
"GC20100911","fall",2010,72,"COR",20,0,6,0,2010-09-11,"GC20100911 fall 72",11.54
"GC20110507","spring",2011,72,"COR",0,23,0,0,2011-05-09,"GC20110507 spring 72",9.69
"GC20110908","fall",2011,72,"COR",30,0,0,0,2011-09-09,"GC20110908 fall 72",14.77
"GC20120908","fall",2012,72,"COR",30,0,0,0,2012-09-08,"GC20120908 fall 72",11.58
"GC20130404","spring",2013,72,"COR",0,38,0,0,2013-04-06,"GC20130404 spring 72",9.34
"GC20130907","fall",2013,72,"COR",54,0,0,0,2013-09-07,"GC20130907 fall 72",11.52
"GC20140403","spring",2014,72,"COR",0,11,0,0,2014-04-05,"GC20140403 spring 72",9.22
"GC20140906","fall",2014,72,"COR",47,0,0,1,2014-09-06,"GC20140906 fall 72",14.35
"GC20150401","spring",2015,72,"COR",0,13,0,0,2015-04-03,"GC20150401 spring 72",9.61
"GC20150430","spring",2015,72,"COR",0,1,0,0,2015-05-01,"GC20150430 spring 72",10.35
"GC20150901","fall",2015,72,"COR",38,3,0,9,2015-09-01,"GC20150901 fall 72",13.57
"GC20160405","spring",2016,72,"COR",0,1,0,0,2016-04-07,"GC20160405 spring 72",9.64
"GC20160519","spring",2016,72,"COR",11,24,0,0,2016-05-20,"GC20160519 spring 72",10.64
"GC20160827","fall",2016,72,"COR",22,0,0,26,2016-08-27,"GC20160827 fall 72",13.29
"GC20170819","fall",2017,72,"COR",39,0,0,5,2017-08-19,"GC20170819 fall 72",12.29
"GC20180405","spring",2018,72,"COR",1,4,0,0,2018-04-06,"GC20180405 spring 72",9.73
"GC20180426","spring",2018,72,"COR",8,20,0,0,2018-04-26,"GC20180426 spring 72",10.27
"GC20180822","fall",2018,72,"COR",11,0,0,0,2018-08-22,"GC20180822 fall 72",12.17
"GC20190403","spring",2019,72,"COR",10,22,0,0,2019-04-04,"GC20190403 spring 72",9.41
"GC20190907","fall",2019,72,"COR",11,0,0,2,2019-09-07,"GC20190907 fall 72",15.25
"GC20040515","spring",2004,80,"COR",24,0,0,0,2004-05-16,"GC20040515 spring 80",10.83
"GC20050514","spring",2005,80,"COR",0,22,0,0,2005-05-15,"GC20050514 spring 80",10.84
"GC20060507","spring",2006,80,"COR",24,0,0,0,2006-05-09,"GC20060507 spring 80",10.99
"GC20080327","spring",2008,80,"COR",0,20,0,0,2008-03-28,"GC20080327 spring 80",9.14
"GC20090228","spring",2009,80,"COR",0,24,0,0,2009-03-01,"GC20090228 spring 80",8.6
"GC20110507","spring",2011,80,"COR",0,7,0,0,2011-05-10,"GC20110507 spring 80",9.19
"GC20120419","spring",2012,80,"COR",0,10,0,0,2012-04-23,"GC20120419 spring 80",10.52
"GC20120913","fall",2012,80,"COR",0,12,0,0,2012-09-17,"GC20120913 fall 80",11.42
"GC20130405","spring",2013,80,"COR",0,10,0,0,2013-04-09,"GC20130405 spring 80",8.84
"GC20130525","spring",2013,80,"COR",0,16,0,0,2013-05-26,"GC20130525 spring 80",10.47
"GC20130907","fall",2013,80,"COR",55,0,0,0,2013-09-09,"GC20130907 fall 80",11.9
"GC20130912","fall",2013,80,"COR",0,10,0,0,2013-09-17,"GC20130912 fall 80",12.48
"GC20140403","spring",2014,80,"COR",0,17,0,0,2014-04-07,"GC20140403 spring 80",9.75
"GC20140524","spring",2014,80,"COR",0,11,0,0,2014-05-26,"GC20140524 spring 80",11.72
"GC20140906","fall",2014,80,"COR",66,0,0,1,2014-09-07,"GC20140906 fall 80",14.62
"GC20140911","fall",2014,80,"COR",0,10,0,0,2014-09-16,"GC20140911 fall 80",14.98
"GC20150401","spring",2015,80,"COR",0,5,0,0,2015-04-03,"GC20150401 spring 80",9.74
"GC20150402","spring",2015,80,"COR",0,10,0,0,2015-04-08,"GC20150402 spring 80",9.77
"GC20150901","fall",2015,80,"COR",57,3,0,5,2015-09-02,"GC20150901 fall 80",13.87
"GC20150910","fall",2015,80,"COR",0,10,0,0,2015-09-14,"GC20150910 fall 80",14.25
"GC20160330","spring",2016,80,"COR",0,10,0,0,2016-04-03,"GC20160330 spring 80",9.6
"GC20160519","spring",2016,80,"COR",9,24,0,0,2016-05-21,"GC20160519 spring 80",10.75
"GC20160827","fall",2016,80,"COR",58,0,0,27,2016-08-28,"GC20160827 fall 80",13.08
"GC20160908","fall",2016,80,"COR",0,10,0,0,2016-09-12,"GC20160908 fall 80",14.04
"GC20170819","fall",2017,80,"COR",21,0,0,5,2017-08-20,"GC20170819 fall 80",12.67
"GC20180426","spring",2018,80,"COR",1,3,0,0,2018-04-27,"GC20180426 spring 80",10.46
"GC20180822","fall",2018,80,"COR",13,0,0,0,2018-08-22,"GC20180822 fall 80",12.3
"GC20190907","fall",2019,80,"COR",13,0,0,4,2019-09-07,"GC20190907 fall 80",15.37
"GC20200902","fall",2020,80,"COR",20,0,0,0,2020-09-02,"GC20200902 fall 80",12.05
"GC20040515","spring",2004,88,"COR",48,0,0,0,2004-05-17,"GC20040515 spring 88",11.05
"GC20050514","spring",2005,88,"COR",0,3,0,0,2005-05-15,"GC20050514 spring 88",11.03
"GC20060507","spring",2006,88,"COR",12,0,0,0,2006-05-09,"GC20060507 spring 88",11.16
"GC20070308","spring",2007,88,"COR",0,36,0,0,2007-03-09,"GC20070308 spring 88",9.24
"GC20070915","fall",2007,88,"COR",0,34,0,0,2007-09-16,"GC20070915 fall 88",12.22
"GC20120419","spring",2012,88,"COR",0,56,0,0,2012-04-24,"GC20120419 spring 88",10.78
